Sample,U (ppm),Th (ppm),207Pb/206Pb,2S.E.,207Pb/235U,2S.E,206Pb/238U,2S.E.,𝜌,F206 (%)a,206Pb*/238U ,2σ,
GJ-1 ,305,9,0.05974,0.00066,0.80974,0.01138,0.09830,0.00086,0.619,0,604.5,9.8,
GJ-2,316,10,0.06003,0.00060,0.81034,0.00986,0.09791,0.00069,0.579,0,602.0,7.9,
GJ-3,313,9,0.05978,0.00063,0.79930,0.01052,0.09698,0.00076,0.595,0,599.8,8.7,
GJ-4,309,9,0.05969,0.00065,0.80353,0.01034,0.09764,0.00066,0.528,0,600.7,7.6,
GJ-5,301,9,0.05916,0.00057,0.79287,0.00911,0.09720,0.00061,0.551,0,598.5,7.1,
GJ-7,280,9,0.05928,0.00060,0.79463,0.00961,0.09723,0.00064,0.542,0,598.6,7.3,
,,,,,,,,,,,,,
Bishop ,1907,1067,0.07961,0.01387,0.00117,0.00021,0.00011,0.00000,0.688,4,0.75,0.03,
Bishop ,1346,593,0.11529,0.02059,0.00187,0.00034,0.00012,0.00000,0.758,9,0.77,0.03,
Bishop ,2189,1153,0.08842,0.01303,0.00132,0.00020,0.00011,0.00000,0.697,5,0.75,0.02,
Bishop ,1863,913,0.11477,0.01735,0.00168,0.00026,0.00011,0.00000,0.682,9,0.75,0.02,
Bishop ,1889,959,0.25189,0.01954,0.00513,0.00043,0.00015,0.00001,0.952,26,0.77,0.03,
Bishop ,1367,561,0.08650,0.01587,0.00125,0.00023,0.00010,0.00000,0.673,5,0.75,0.03,
Bishop ,2314,1401,0.23225,0.01569,0.00440,0.00033,0.00014,0.00000,0.886,24,0.76,0.02,
Bishop ,1342,774,0.19841,0.02929,0.00333,0.00052,0.00012,0.00001,0.786,19,0.75,0.03,
,,,,,,,,,,,,,
Grubstake tephra (UA4024),,,,,,,,,,,,,Average diameter (µm)
GBS - 2,230,122,0.41680,0.02408,0.11205,0.00783,0.00195,0.00008,0.562,47,6.758,0.265,40.3
GBS - 3,255,138,0.18337,0.01663,0.03166,0.00304,0.00125,0.00004,0.332,17,6.758,0.216,39.7
GBS - 4,166,203,0.46164,0.05051,0.15462,0.02574,0.00243,0.00030,0.754,53,7.507,0.941,28.9
GBS - 5,261,111,0.19510,0.01802,0.03516,0.00355,0.00131,0.00005,0.406,19,6.925,0.284,29.2
GBS - 7,180,91,0.25727,0.02794,0.05277,0.00620,0.00149,0.00007,0.381,27,7.114,0.318,27.5
GBS - 8,54,42,0.29129,0.01419,3.06632,0.17915,0.07635,0.00246,0.552,30,336.886,10.573,72.0
GBS - 9,271,154,0.45412,0.02768,0.20086,0.01834,0.00321,0.00022,0.744,52,10.089,0.685,34.3
GBS - 13,243,120,0.30094,0.01922,0.06198,0.00447,0.00149,0.00005,0.465,32,6.612,0.222,26.4
GBS - 14,234,116,0.50789,0.01457,0.17470,0.00878,0.00249,0.00010,0.821,58,6.766,0.279,25.1
GBS - 15,409,676,0.31990,0.03089,0.06875,0.00787,0.00156,0.00010,0.536,35,6.653,0.408,33.1
GBS - 17,62,40,0.65284,0.05907,0.69491,0.12136,0.00772,0.00115,0.855,77,11.606,1.732,27.2
GBS - 18,210,101,0.51732,0.01641,0.19803,0.00801,0.00278,0.00007,0.621,60,7.306,0.183,26.8
GBS - 19,302,161,0.36572,0.03107,0.09210,0.01023,0.00183,0.00013,0.644,40,7.097,0.507,22.8
GBS - 20,236,154,0.50622,0.02386,0.17730,0.00990,0.00254,0.00008,0.536,58,6.922,0.207,42.6
GBS - 22,228,142,0.46229,0.02181,0.14107,0.00818,0.00221,0.00007,0.582,53,6.837,0.231,28.2
GBS - 23,723,793,0.13992,0.01003,0.02240,0.00169,0.00116,0.00003,0.310,12,6.685,0.156,38.8
GBS - 24,137,119,0.46591,0.02654,0.15226,0.01046,0.00237,0.00009,0.559,53,7.245,0.278,35.7
GBS - 26,218,111,0.44920,0.02508,0.13643,0.00887,0.00220,0.00007,0.513,51,7.040,0.235,34.0
GBS - 27,260,152,0.62982,0.02458,0.35406,0.03617,0.00408,0.00038,0.924,74,6.942,0.655,40.5
GBS - 28,217,106,0.54748,0.02334,0.21256,0.01141,0.00282,0.00009,0.608,64,6.715,0.219,37.1
GBS - 31,362,287,0.45313,0.02405,0.14294,0.01002,0.00229,0.00010,0.653,52,7.235,0.331,47.0
